,Year,Airport,FlightsA-Domestic,PaxA-Domestic,CargoA-Domestic,FlightsD-Domestic,PaxD-Domestic,CargoD-Domestic,FlightsA-international,PaxA-international,CargoA-international,FlightsD-international,PaxD-international,CargoD-international,Flights,Pax,Cargo
82,2013,DMM,"  13,450.0 ","  1,532,397.0 ","  5,497.4 ","  13,228.0 ","  1,498,327.0 ","  4,262.0 ","  17,107.0 ","  1,858,535.0 ","  48,535.9 ","  17,100.0 ","  1,983,093.0 ","  23,630.3 ","  60,885.0 ","  6,872,352.0 ","  81,925.6 "
83,2013,DWD,  210.0 ,"  10,545.0 ",  7.3 ,  210.0 ,"  10,829.0 ",  0.7 ,,,,,,,  420.0 ,"  21,374.0 ",  8.1 
84,2013,EAM,"  2,924.0 ","  287,418.0 ",  386.0 ,"  2,920.0 ","  290,867.0 ",  141.6 ,  5.0 ,  23.0 ,  -   ,  6.0 ,  42.0 ,  -   ,"  5,855.0 ","  578,350.0 ",  527.6 
85,2013,EJH,  346.0 ,"  17,157.0 ",  13.3 ,  346.0 ,"  18,250.0 ",  8.0 ,,,,,,,  692.0 ,"  35,407.0 ",  21.3 
86,2013,ELQ,"  2,441.0 ","  240,647.0 ",  533.2 ,"  2,442.0 ","  250,544.0 ",  376.0 ,"  2,067.0 ","  156,645.0 ",  -   ,"  2,066.0 ","  252,764.0 ",  -   ,"  9,016.0 ","  900,600.0 ",  909.2 
87,2013,GIZ,"  4,457.0 ","  571,529.0 ",  862.4 ,"  4,428.0 ","  659,345.0 ","  1,594.1 ",  1.0 ,  -   ,  -   ,  17.0 ,"  2,770.0 ",  -   ,"  8,903.0 ","  1,233,644.0 ","  2,456.5 "
88,2013,HAS,"  2,202.0 ","  250,547.0 ",  909.1 ,"  2,187.0 ","  259,568.0 ",  183.0 ,  298.0 ,"  20,909.0 ",  -   ,  309.0 ,"  30,117.0 ",  -   ,"  4,996.0 ","  561,141.0 ","  1,092.0 "
89,2013,HOF,  226.0 ,"  19,615.0 ",  1.7 ,  226.0 ,"  19,977.0 ",  1.0 ,  24.0 ,  -   ,  -   ,  24.0 ,"  2,059.0 ",  -   ,  500.0 ,"  41,651.0 ",  2.8 
90,2013,JED,"  30,427.0 ","  4,043,354.0 ","  18,222.6 ","  28,833.0 ","  4,018,884.0 ","  18,682.2 ","  49,168.0 ","  5,673,630.0 ","  107,822.6 ","  49,958.0 ","  7,185,243.0 ","  73,609.5 ","  158,386.0 ","  20,921,111.0 ","  218,336.9 "
91,2013,MED,"  9,007.0 ","  810,630.0 ","  1,043.5 ","  10,415.0 ","  857,337.0 ","  1,143.6 ","  8,389.0 ","  1,106,371.0 ","  1,237.8 ","  7,113.0 ","  902,716.0 ","  1,253.1 ","  34,924.0 ","  3,677,054.0 ","  4,678.0 "
92,2013,RAE,"  1,049.0 ","  99,936.0 ",  334.3 ,"  1,049.0 ","  101,917.0 ",  25.3 ,,,,,,,"  2,098.0 ","  201,853.0 ",  359.6 
93,2013,RAH,  458.0 ,"  25,202.0 ",  23.6 ,  456.0 ,"  27,459.0 ",  5.4 ,,,,,,,  914.0 ,"  52,661.0 ",  29.1 
94,2013,RUH,"  37,782.0 ","  4,761,562.0 ","  16,668.6 ","  37,145.0 ","  4,573,903.0 ","  19,957.4 ","  32,548.0 ","  4,334,681.0 ","  108,245.5 ","  32,433.0 ","  4,629,905.0 ","  66,833.0 ","  139,908.0 ","  18,300,051.0 ","  211,704.5 "
95,2013,SHW,  728.0 ,"  57,881.0 ",  68.2 ,  729.0 ,"  56,985.0 ",  13.5 ,,,,,,,"  1,457.0 ","  114,866.0 ",  81.7 
96,2013,TIF,"  2,387.0 ","  264,309.0 ",  217.4 ,"  2,397.0 ","  288,218.0 ",  192.4 ,"  1,445.0 ","  106,945.0 ",  -   ,"  1,432.0 ","  164,164.0 ",  -   ,"  7,661.0 ","  823,636.0 ",  409.8 
97,2013,TUI,  365.0 ,"  19,656.0 ",  11.8 ,  366.0 ,"  21,196.0 ",  6.2 ,,,,,,,  731.0 ,"  40,852.0 ",  18.0 
98,2013,TUU,"  3,794.0 ","  450,036.0 ","  1,551.4 ","  3,798.0 ","  461,492.0 ",  479.5 ,  441.0 ,"  31,435.0 ",  -   ,  433.0 ,"  50,180.0 ",  -   ,"  8,466.0 ","  993,143.0 ","  2,030.9 "
99,2013,ULH,  107.0 ,"  4,541.0 ",  1.1 ,  106.0 ,"  4,598.0 ",  -   ,,,,,,,  213.0 ,"  9,139.0 ",  1.1 
100,2013,URY,  824.0 ,"  81,888.0 ",  293.5 ,  824.0 ,"  86,299.0 ",  20.7 ,,,,,,,"  1,648.0 ","  168,187.0 ",  314.1 
101,2013,WAE,  986.0 ,"  53,496.0 ",  8.3 ,  986.0 ,"  56,814.0 ",  1.7 ,,,,,,,"  1,972.0 ","  110,310.0 ",  10.0 
102,2013,YNB,"  1,754.0 ","  133,600.0 ",  149.0 ,"  1,751.0 ","  151,548.0 ",  9.7 ,"  1,747.0 ","  116,308.0 ",  -   ,"  1,752.0 ","  219,023.0 ",  -   ,"  7,004.0 ","  620,479.0 ",  158.7 
103,2014,ABT,"  1,483.0 ","  170,556.0 ",  72.2 ,"  1,483.0 ","  177,249.0 ",  35.3 ,,,,,,,"  2,966.0 ","  347,805.0 ",  107.6 
104,2014,AHB,"  9,437.0 ","  1,109,883.0 ","  2,436.9 ","  9,339.0 ","  1,145,549.0 ",  690.4 ,"  1,539.0 ","  129,609.0 ",  57.4 ,"  1,542.0 ","  182,951.0 ",  6.4 ,"  21,857.0 ","  2,567,992.0 ","  3,191.0 "
105,2014,AJF,"  1,724.0 ","  161,994.0 ",  526.5 ,"  1,723.0 ","  165,688.0 ",  55.9 ,  65.0 ,"  6,732.0 ",  -   ,  67.0 ,"  6,977.0 ",  -   ,"  3,579.0 ","  341,391.0 ",  582.5 
106,2014,AQI,"  1,089.0 ","  64,635.0 ",  50.7 ,"  1,090.0 ","  68,816.0 ",  87.4 ,,,,,,,"  2,179.0 ","  133,451.0 ",  138.1 
107,2014,BHH,"  1,820.0 ","  191,038.0 ",  114.2 ,"  1,820.0 ","  195,457.0 ",  17.5 ,,,,,,,"  3,640.0 ","  386,495.0 ",  131.7 
108,2014,DMM,"  15,009.0 ","  1,733,536.0 ","  5,022.2 ","  15,175.0 ","  1,768,501.0 ","  3,648.8 ","  18,442.0 ","  2,327,684.0 ","  33,874.9 ","  18,290.0 ","  2,212,398.0 ","  23,120.2 ","  66,916.0 ","  8,042,119.0 ","  65,666.0 "
109,2014,DWD,  208.0 ,"  11,037.0 ",  2.1 ,  207.0 ,"  11,085.0 ",  0.3 ,,,,,,,  415.0 ,"  22,122.0 ",  2.4 
110,2014,EAM,"  3,007.0 ","  303,585.0 ",  354.3 ,"  3,000.0 ","  302,887.0 ",  140.2 ,  38.0 ,  745.0 ,  -   ,  38.0 ,"  2,406.0 ",  -   ,"  6,083.0 ","  609,623.0 ",  494.6 
111,2014,EJH,  389.0 ,"  19,983.0 ",  10.3 ,  386.0 ,"  21,382.0 ",  7.0 ,,,,,,,  775.0 ,"  41,365.0 ",  17.3 
