Year,Month_short,dom/intl,ABT,AHB,AJF,AQI,BHH,DMM,DWD,EAM,EJH,ELQ,GIZ,HAS,HOF,JED,MED,NUM,RAE,RAH,RGB,RUH,SHW,TIF,TUI,TUU,ULH,URY,WAE,YNB
2017.0,Jun,international,0.0,38920.0,10345.0,0.0,0.0,389759.0,0.0,0.0,0.0,54737.0,14203.0,11636.0,6346.0,1933636.0,403631.0,0.0,0.0,0.0,0.0,913638.0,0.0,36645.0,0.0,14192.0,0.0,0.0,0.0,31279.0
2017.0,Jul,Domestic,51350.0,322916.0,40812.0,23130.0,44464.0,465577.0,2808.0,12.0,5310.0,86571.0,171114.0,78709.0,11211.0,941236.0,203567.0,0.0,25213.0,9093.0,4.0,1298328.0,24534.0,68620.0,8533.0,105426.0,1947.0,24105.0,11933.0,34026.0
2017.0,Jul,international,0.0,52711.0,16343.0,0.0,0.0,508398.0,0.0,0.0,0.0,93128.0,18222.0,20138.0,10806.0,1524375.0,317683.0,0.0,0.0,0.0,0.0,1195926.0,0.0,32213.0,0.0,22414.0,0.0,68.0,0.0,30857.0
2017.0,Aug,Domestic,52968.0,323159.0,40703.0,23853.0,45060.0,457081.0,2638.0,28.0,5266.0,81696.0,170695.0,81286.0,10638.0,1013398.0,200496.0,0.0,24111.0,7751.0,0.0,1267321.0,25140.0,67912.0,8716.0,99533.0,2049.0,24855.0,12849.0,35709.0
2017.0,Aug,international,0.0,55202.0,18173.0,0.0,0.0,544548.0,0.0,0.0,0.0,101697.0,20501.0,21347.0,13662.0,2149204.0,724363.0,0.0,16.0,0.0,0.0,1215513.0,0.0,29583.0,0.0,25669.0,0.0,2.0,0.0,37650.0
2017.0,Sep,Domestic,40083.0,280547.0,37194.0,23085.0,37377.0,414134.0,2589.0,34.0,4872.0,68921.0,154701.0,75779.0,10354.0,944468.0,190037.0,0.0,23721.0,7611.0,0.0,1157367.0,24190.0,59202.0,8740.0,93262.0,1878.0,23816.0,12221.0,32784.0
2017.0,Sep,international,0.0,48962.0,14350.0,0.0,0.0,463602.0,0.0,0.0,0.0,82977.0,17062.0,17543.0,12171.0,2113096.0,658553.0,0.0,8.0,0.0,0.0,1065157.0,0.0,36700.0,0.0,19412.0,0.0,0.0,0.0,30390.0
2017.0,Oct,Domestic,35152.0,275829.0,41584.0,22654.0,36070.0,426958.0,2457.0,70.0,4753.0,80638.0,153548.0,80739.0,11633.0,1081986.0,188978.0,0.0,23662.0,6169.0,9.0,1242616.0,23608.0,62517.0,7998.0,95380.0,1811.0,20742.0,12477.0,37240.0
2017.0,Oct,international,0.0,36390.0,7224.0,0.0,0.0,352133.0,0.0,0.0,5.0,54827.0,12314.0,12258.0,5507.0,1129508.0,197981.0,0.0,3.0,0.0,0.0,887656.0,0.0,31068.0,0.0,12671.0,0.0,0.0,0.0,13007.0
2017.0,Nov,Domestic,36776.0,273929.0,41934.0,24129.0,36669.0,431538.0,2694.0,94.0,4869.0,77952.0,157327.0,83265.0,10743.0,986629.0,197422.0,0.0,24617.0,7355.0,0.0,1200510.0,22023.0,57968.0,8467.0,104215.0,2931.0,19836.0,12141.0,40561.0
2017.0,Nov,international,0.0,36592.0,8082.0,0.0,0.0,346192.0,0.0,0.0,0.0,47654.0,14143.0,13013.0,5134.0,1597439.0,338953.0,0.0,0.0,0.0,0.0,878784.0,0.0,26882.0,0.0,13241.0,0.0,0.0,0.0,15761.0
2017.0,Dec,Domestic,36400.0,272051.0,40475.0,23668.0,36202.0,433680.0,2577.0,44.0,5010.0,70645.0,166042.0,82572.0,10391.0,969656.0,205164.0,0.0,24069.0,7232.0,8.0,1196295.0,22460.0,56771.0,8697.0,107961.0,2575.0,19496.0,11646.0,37730.0
2017.0,Dec,international,0.0,38099.0,8753.0,0.0,0.0,370850.0,0.0,0.0,0.0,42908.0,14772.0,12712.0,3549.0,2000625.0,526681.0,0.0,0.0,0.0,0.0,945502.0,0.0,29290.0,0.0,13447.0,0.0,0.0,0.0,19448.0
2018.0,Jan,Domestic,44957.0,310140.0,44070.0,26663.0,46001.0,503932.0,3067.0,139.0,5003.0,83287.0,222478.0,97783.0,11392.0,1158180.0,226142.0,0.0,28174.0,8268.0,0.0,1384563.0,22800.0,67056.0,9024.0,120817.0,2901.0,24435.0,14256.0,44039.0
2018.0,Jan,international,0.0,46407.0,11847.0,0.0,0.0,420488.0,0.0,0.0,0.0,60404.0,17413.0,15245.0,5266.0,2107357.0,494733.0,0.0,0.0,0.0,0.0,1091198.0,0.0,36354.0,0.0,18854.0,0.0,0.0,0.0,24421.0
2018.0,Feb,Domestic,33698.0,273815.0,38462.0,19962.0,37559.0,382917.0,2358.0,133.0,3930.0,64676.0,181335.0,76102.0,9971.0,925854.0,179435.0,0.0,46691.0,6264.0,21.0,1142735.0,18691.0,53266.0,6850.0,98825.0,2724.0,18583.0,11372.0,36367.0
2018.0,Feb,international,0.0,33626.0,7746.0,0.0,0.0,325493.0,0.0,0.0,0.0,45751.0,11706.0,10822.0,3840.0,1737847.0,438338.0,0.0,0.0,0.0,0.0,865129.0,0.0,21880.0,0.0,13223.0,0.0,0.0,0.0,17513.0
2018.0,Mar,Domestic,40168.0,329128.0,44970.0,23182.0,42362.0,468489.0,3354.0,214.0,4331.0,79746.0,206424.0,94866.0,11257.0,1074084.0,209688.0,0.0,27181.0,6876.0,16.0,1314767.0,22521.0,63347.0,8533.0,151437.0,3766.0,22773.0,13588.0,43185.0
2018.0,Mar,international,0.0,35870.0,8428.0,0.0,0.0,378615.0,0.0,0.0,0.0,46035.0,13387.0,11969.0,4045.0,2060196.0,540130.0,0.0,0.0,0.0,0.0,997190.0,0.0,29374.0,0.0,13997.0,0.0,0.0,0.0,25941.0
2018.0,Apr,Domestic,38394.0,322759.0,40292.0,21891.0,39168.0,462279.0,2025.0,47.0,4378.0,69756.0,191894.0,91786.0,10581.0,983081.0,202872.0,0.0,28175.0,6230.0,6.0,1267081.0,21481.0,61018.0,8233.0,153662.0,2439.0,20943.0,12332.0,40930.0
2018.0,Apr,international,0.0,35306.0,7938.0,0.0,0.0,395153.0,0.0,18.0,16.0,47956.0,15013.0,13087.0,4.0,2261661.0,529749.0,0.0,0.0,0.0,0.0,1031968.0,0.0,30896.0,0.0,11630.0,0.0,5.0,0.0,50419.0
2018.0,May,Domestic,37549.0,335933.0,39406.0,21236.0,37263.0,459477.0,2448.0,72.0,4828.0,82453.0,202487.0,86143.0,11488.0,1200048.0,199085.0,0.0,28236.0,5557.0,3.0,1315438.0,21790.0,67431.0,8457.0,105397.0,2048.0,21482.0,12531.0,38150.0
2018.0,May,international,0.0,36756.0,8721.0,0.0,0.0,406192.0,0.0,0.0,0.0,47972.0,14875.0,13568.0,2715.0,2153942.0,529696.0,0.0,0.0,0.0,0.0,1009668.0,0.0,41338.0,0.0,12753.0,0.0,0.0,0.0,41082.0
2018.0,Jun,Domestic,41073.0,353294.0,34620.0,24722.0,36984.0,446328.0,3353.0,74.0,4460.0,87070.0,203298.0,91274.0,10334.0,997451.0,215520.0,0.0,22570.0,7809.0,0.0,1291912.0,21523.0,70984.0,9111.0,105748.0,2631.0,21674.0,11539.0,31552.0
